idx,project,filename,window_start,window_end,label,logits
10837,MARS_20160201_20160229_32kHz,MARS_20160220_075113_resampled_32kHz.wav,305.0,310.0,orca_call,0.8652397
11526,MARS_20160201_20160229_32kHz,MARS_20160229_113934_resampled_32kHz.wav,145.0,150.0,orca_call,0.8956391
16632,MARS_20160201_20160229_32kHz,MARS_20160225_065617_resampled_32kHz.wav,360.0,365.0,orca_call,0.56386834
38367,MARS_20160201_20160229_32kHz,MARS_20160218_023127_resampled_32kHz.wav,455.0,460.0,orca_call,0.4379477
38370,MARS_20160201_20160229_32kHz,MARS_20160218_023127_resampled_32kHz.wav,470.0,475.0,orca_call,0.34634772
83366,MARS_20160201_20160229_32kHz,MARS_20160226_000617_resampled_32kHz.wav,455.0,460.0,orca_call,0.6995096
83367,MARS_20160201_20160229_32kHz,MARS_20160226_000617_resampled_32kHz.wav,460.0,465.0,orca_call,0.11603702
83368,MARS_20160201_20160229_32kHz,MARS_20160226_000617_resampled_32kHz.wav,465.0,470.0,orca_call,0.86351764
176981,MARS_20160201_20160229_32kHz,MARS_20160225_064617_resampled_32kHz.wav,510.0,515.0,orca_call,0.23047394
176994,MARS_20160201_20160229_32kHz,MARS_20160225_064617_resampled_32kHz.wav,575.0,580.0,orca_call,0.19063678
176995,MARS_20160201_20160229_32kHz,MARS_20160225_064617_resampled_32kHz.wav,580.0,585.0,orca_call,0.0005653724
200077,MARS_20160201_20160229_32kHz,MARS_20160225_071617_resampled_32kHz.wav,220.0,225.0,orca_call,0.11421836
219522,MARS_20160201_20160229_32kHz,MARS_20160222_154115_resampled_32kHz.wav,560.0,565.0,orca_call,0.048577376
219526,MARS_20160201_20160229_32kHz,MARS_20160222_154115_resampled_32kHz.wav,580.0,585.0,orca_call,0.04985095
253654,MARS_20160201_20160229_32kHz,MARS_20160229_144933_resampled_32kHz.wav,335.0,340.0,orca_call,0.12878114
253673,MARS_20160201_20160229_32kHz,MARS_20160229_144933_resampled_32kHz.wav,430.0,435.0,orca_call,0.15257663
253697,MARS_20160201_20160229_32kHz,MARS_20160229_144933_resampled_32kHz.wav,550.0,555.0,orca_call,0.22496542
259463,MARS_20160201_20160229_32kHz,MARS_20160225_090617_resampled_32kHz.wav,155.0,160.0,orca_call,0.7620461
259465,MARS_20160201_20160229_32kHz,MARS_20160225_090617_resampled_32kHz.wav,165.0,170.0,orca_call,0.9701934
259466,MARS_20160201_20160229_32kHz,MARS_20160225_090617_resampled_32kHz.wav,170.0,175.0,orca_call,0.5596413
259470,MARS_20160201_20160229_32kHz,MARS_20160225_090617_resampled_32kHz.wav,190.0,195.0,orca_call,1.6435275
259475,MARS_20160201_20160229_32kHz,MARS_20160225_090617_resampled_32kHz.wav,215.0,220.0,orca_call,0.85617036
280774,MARS_20160201_20160229_32kHz,MARS_20160229_111934_resampled_32kHz.wav,420.0,425.0,orca_call,0.6183314
286401,MARS_20160201_20160229_32kHz,MARS_20160222_161115_resampled_32kHz.wav,260.0,265.0,orca_call,0.28922772
286431,MARS_20160201_20160229_32kHz,MARS_20160222_161115_resampled_32kHz.wav,410.0,415.0,orca_call,0.31429017
333511,MARS_20160201_20160229_32kHz,MARS_20160229_105934_resampled_32kHz.wav,415.0,420.0,orca_call,0.04776848
333512,MARS_20160201_20160229_32kHz,MARS_20160229_105934_resampled_32kHz.wav,420.0,425.0,orca_call,0.09303302
338957,MARS_20160201_20160229_32kHz,MARS_20160225_070617_resampled_32kHz.wav,265.0,270.0,orca_call,0.08066284
338971,MARS_20160201_20160229_32kHz,MARS_20160225_070617_resampled_32kHz.wav,335.0,340.0,orca_call,0.18209895
338982,MARS_20160201_20160229_32kHz,MARS_20160225_070617_resampled_32kHz.wav,390.0,395.0,orca_call,0.2096192
