date,files,seconds,hours,expected_windows,pct_of_day,short_files,note
2017-06-01,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-06-02,145,86660.0,24.07,17332,100.3,1,COMPLETE
2017-06-03,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-06-04,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-06-05,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-06-06,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-06-07,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-06-08,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-06-09,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-06-10,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-06-11,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-06-12,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-06-13,129,77242.0,21.46,15448,89.4,1,PARTIAL
2017-06-14,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-06-15,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-06-16,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-06-17,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-06-18,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-06-19,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-06-20,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-06-21,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-06-22,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-06-23,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-06-24,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-06-25,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-06-26,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-06-27,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-06-28,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-06-29,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-06-30,144,86400.0,24.00,17280,100.0,0,COMPLETE
