date,files,seconds,hours,expected_windows,pct_of_day,short_files,note
2020-10-01,144,86400.0,24.00,17280,100.0,0,COMPLETE
2020-10-02,144,86400.0,24.00,17280,100.0,0,COMPLETE
2020-10-03,144,86400.0,24.00,17280,100.0,0,COMPLETE
2020-10-04,143,85674.0,23.80,17135,99.2,1,NEAR-COMPLETE
2020-10-05,185,85531.0,23.76,17135,99.0,45,NEAR-COMPLETE
2020-10-06,144,86400.0,24.00,17280,100.0,0,COMPLETE
2020-10-07,144,86400.0,24.00,17280,100.0,0,COMPLETE
2020-10-08,144,86400.0,24.00,17280,100.0,0,COMPLETE
2020-10-09,144,86400.0,24.00,17280,100.0,0,COMPLETE
2020-10-10,144,86400.0,24.00,17280,100.0,0,COMPLETE
2020-10-11,144,86400.0,24.00,17280,100.0,0,COMPLETE
2020-10-12,144,86400.0,24.00,17280,100.0,0,COMPLETE
2020-10-13,144,86400.0,24.00,17280,100.0,0,COMPLETE
2020-10-14,144,86400.0,24.00,17280,100.0,0,COMPLETE
2020-10-15,144,86400.0,24.00,17280,100.0,0,COMPLETE
2020-10-16,144,86400.0,24.00,17280,100.0,0,COMPLETE
2020-10-17,144,86400.0,24.00,17280,100.0,0,COMPLETE
2020-10-18,144,86400.0,24.00,17280,100.0,0,COMPLETE
2020-10-19,144,86400.0,24.00,17280,100.0,0,COMPLETE
2020-10-20,144,85924.0,23.87,17185,99.4,1,NEAR-COMPLETE
2020-10-21,144,86400.0,24.00,17280,100.0,0,COMPLETE
2020-10-22,144,86400.0,24.00,17280,100.0,0,COMPLETE
2020-10-23,144,86400.0,24.00,17280,100.0,0,COMPLETE
2020-10-24,144,86400.0,24.00,17280,100.0,0,COMPLETE
2020-10-25,144,86400.0,24.00,17280,100.0,0,COMPLETE
2020-10-26,144,86400.0,24.00,17280,100.0,0,COMPLETE
2020-10-27,144,86400.0,24.00,17280,100.0,0,COMPLETE
2020-10-28,144,86400.0,24.00,17280,100.0,0,COMPLETE
2020-10-29,144,86400.0,24.00,17280,100.0,0,COMPLETE
2020-10-30,144,86400.0,24.00,17280,100.0,0,COMPLETE
2020-10-31,144,86400.0,24.00,17280,100.0,0,COMPLETE
