date,files,seconds,hours,expected_windows,pct_of_day,short_files,note
2016-02-01,144,85817.0,23.84,17163,99.3,2,NEAR-COMPLETE
2016-02-02,145,86532.0,24.04,17306,100.2,1,COMPLETE
2016-02-03,106,61985.0,17.22,12396,71.7,4,PARTIAL
2016-02-04,0,0.0,0.00,0,0.0,0,ABSENT
2016-02-05,0,0.0,0.00,0,0.0,0,ABSENT
2016-02-06,0,0.0,0.00,0,0.0,0,ABSENT
2016-02-07,0,0.0,0.00,0,0.0,0,ABSENT
2016-02-08,0,0.0,0.00,0,0.0,0,ABSENT
2016-02-09,279,84518.0,23.48,16844,97.8,176,NEAR-COMPLETE
2016-02-10,34,1966.0,0.55,384,2.3,34,PARTIAL
2016-02-11,138,26896.0,7.47,5338,31.1,108,PARTIAL
2016-02-12,102,57557.0,15.99,11509,66.6,7,PARTIAL
2016-02-13,0,0.0,0.00,0,0.0,0,ABSENT
2016-02-14,29,17400.0,4.83,3480,20.1,0,PARTIAL
2016-02-15,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-02-16,134,79712.0,22.14,15943,92.3,2,NEAR-COMPLETE
2016-02-17,148,85864.0,23.85,17175,99.4,5,NEAR-COMPLETE
2016-02-18,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-02-19,145,86040.0,23.90,17207,99.6,2,COMPLETE
2016-02-20,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-02-21,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-02-22,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-02-23,143,85474.0,23.74,17094,98.9,1,NEAR-COMPLETE
2016-02-24,145,86766.0,24.10,17353,100.4,1,COMPLETE
2016-02-25,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-02-26,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-02-27,145,86588.0,24.05,17317,100.2,1,COMPLETE
2016-02-28,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-02-29,144,86400.0,24.00,17280,100.0,0,COMPLETE
