date,files,seconds,hours,expected_windows,pct_of_day,short_files,note
2017-08-01,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-08-02,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-08-03,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-08-04,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-08-05,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-08-06,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-08-07,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-08-08,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-08-09,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-08-10,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-08-11,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-08-12,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-08-13,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-08-14,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-08-15,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-08-16,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-08-17,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-08-18,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-08-19,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-08-20,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-08-21,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-08-22,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-08-23,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-08-24,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-08-25,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-08-26,140,83282.0,23.13,16657,96.4,2,NEAR-COMPLETE
2017-08-27,97,57263.0,15.91,11451,66.3,4,PARTIAL
2017-08-28,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-08-29,144,85933.0,23.87,17186,99.5,1,NEAR-COMPLETE
2017-08-30,144,86400.0,24.00,17280,100.0,0,COMPLETE
2017-08-31,144,86400.0,24.00,17280,100.0,0,COMPLETE
