date,files,seconds,hours,expected_windows,pct_of_day,short_files,note
2016-03-01,143,84689.0,23.52,16937,98.0,3,NEAR-COMPLETE
2016-03-02,148,85950.0,23.88,17188,99.5,7,NEAR-COMPLETE
2016-03-03,143,85800.0,23.83,17160,99.3,0,NEAR-COMPLETE
2016-03-04,145,86419.0,24.01,17283,100.0,1,COMPLETE
2016-03-05,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-03-06,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-03-07,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-03-08,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-03-09,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-03-10,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-03-11,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-03-12,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-03-13,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-03-14,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-03-15,142,85200.0,23.67,17040,98.6,0,NEAR-COMPLETE
2016-03-16,143,85661.0,23.79,17132,99.1,1,NEAR-COMPLETE
2016-03-17,133,79357.0,22.04,15871,91.8,1,NEAR-COMPLETE
2016-03-18,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-03-19,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-03-20,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-03-21,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-03-22,147,87127.0,24.20,17423,100.8,5,CHECK-OVERLAP
2016-03-23,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-03-24,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-03-25,145,86743.0,24.10,17348,100.4,1,COMPLETE
2016-03-26,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-03-27,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-03-28,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-03-29,147,85988.0,23.89,17196,99.5,6,NEAR-COMPLETE
2016-03-30,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-03-31,144,86400.0,24.00,17280,100.0,0,COMPLETE
