date,files,seconds,hours,expected_windows,pct_of_day,short_files,note
2015-10-01,144,86400.0,24.00,17280,100.0,0,COMPLETE
2015-10-02,145,86364.0,23.99,17273,100.0,2,COMPLETE
2015-10-03,144,86319.0,23.98,17264,99.9,1,COMPLETE
2015-10-04,144,86400.0,24.00,17280,100.0,0,COMPLETE
2015-10-05,232,81571.0,22.66,16372,94.4,97,NEAR-COMPLETE
2015-10-06,144,86400.0,24.00,17280,100.0,0,COMPLETE
2015-10-07,145,86333.0,23.98,17268,99.9,2,COMPLETE
2015-10-08,144,86400.0,24.00,17280,100.0,0,COMPLETE
2015-10-09,144,86170.0,23.94,17234,99.7,1,COMPLETE
2015-10-10,144,86400.0,24.00,17280,100.0,0,COMPLETE
2015-10-11,145,86361.0,23.99,17273,100.0,2,COMPLETE
2015-10-12,144,86400.0,24.00,17280,100.0,0,COMPLETE
2015-10-13,144,86400.0,24.00,17280,100.0,0,COMPLETE
2015-10-14,144,86400.0,24.00,17280,100.0,0,COMPLETE
2015-10-15,144,86400.0,24.00,17280,100.0,0,COMPLETE
2015-10-16,144,86400.0,24.00,17280,100.0,0,COMPLETE
2015-10-17,117,69908.0,19.42,13982,80.9,1,PARTIAL
2015-10-18,0,0.0,0.00,0,0.0,0,ABSENT
2015-10-19,50,30000.0,8.33,6000,34.7,0,PARTIAL
2015-10-20,144,86400.0,24.00,17280,100.0,0,COMPLETE
2015-10-21,144,86400.0,24.00,17280,100.0,0,COMPLETE
2015-10-22,144,86400.0,24.00,17280,100.0,0,COMPLETE
2015-10-23,146,86914.0,24.14,17384,100.6,2,COMPLETE
2015-10-24,144,86400.0,24.00,17280,100.0,0,COMPLETE
2015-10-25,144,86400.0,24.00,17280,100.0,0,COMPLETE
2015-10-26,144,86400.0,24.00,17280,100.0,0,COMPLETE
2015-10-27,144,86400.0,24.00,17280,100.0,0,COMPLETE
2015-10-28,144,86400.0,24.00,17280,100.0,0,COMPLETE
2015-10-29,144,86400.0,24.00,17280,100.0,0,COMPLETE
2015-10-30,145,86211.0,23.95,17243,99.8,2,COMPLETE
2015-10-31,144,86400.0,24.00,17280,100.0,0,COMPLETE
