date,files,seconds,hours,expected_windows,pct_of_day,short_files,note
2018-03-01,144,86400.0,24.00,17280,100.0,0,COMPLETE
2018-03-02,144,86400.0,24.00,17280,100.0,0,COMPLETE
2018-03-03,144,86400.0,24.00,17280,100.0,0,COMPLETE
2018-03-04,144,86400.0,24.00,17280,100.0,0,COMPLETE
2018-03-05,144,86400.0,24.00,17280,100.0,0,COMPLETE
2018-03-06,144,86400.0,24.00,17280,100.0,0,COMPLETE
2018-03-07,144,86400.0,24.00,17280,100.0,0,COMPLETE
2018-03-08,144,86400.0,24.00,17280,100.0,0,COMPLETE
2018-03-09,88,52655.0,14.63,10531,60.9,1,PARTIAL
2018-03-10,0,0.0,0.00,0,0.0,0,ABSENT
2018-03-11,0,0.0,0.00,0,0.0,0,ABSENT
2018-03-12,0,0.0,0.00,0,0.0,0,ABSENT
2018-03-13,0,0.0,0.00,0,0.0,0,ABSENT
2018-03-14,45,27000.0,7.50,5400,31.2,0,PARTIAL
2018-03-15,144,86400.0,24.00,17280,100.0,0,COMPLETE
2018-03-16,144,86400.0,24.00,17280,100.0,0,COMPLETE
2018-03-17,144,86400.0,24.00,17280,100.0,0,COMPLETE
2018-03-18,144,86400.0,24.00,17280,100.0,0,COMPLETE
2018-03-19,144,86400.0,24.00,17280,100.0,0,COMPLETE
2018-03-20,144,86400.0,24.00,17280,100.0,0,COMPLETE
2018-03-21,144,86400.0,24.00,17280,100.0,0,COMPLETE
2018-03-22,144,86400.0,24.00,17280,100.0,0,COMPLETE
2018-03-23,144,86400.0,24.00,17280,100.0,0,COMPLETE
2018-03-24,142,85200.0,23.67,17040,98.6,0,NEAR-COMPLETE
2018-03-25,144,86400.0,24.00,17280,100.0,0,COMPLETE
2018-03-26,144,86400.0,24.00,17280,100.0,0,COMPLETE
2018-03-27,144,86400.0,24.00,17280,100.0,0,COMPLETE
2018-03-28,144,86400.0,24.00,17280,100.0,0,COMPLETE
2018-03-29,144,86400.0,24.00,17280,100.0,0,COMPLETE
2018-03-30,144,86400.0,24.00,17280,100.0,0,COMPLETE
2018-03-31,144,86400.0,24.00,17280,100.0,0,COMPLETE
