date,files,seconds,hours,expected_windows,pct_of_day,short_files,note
2016-11-01,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-11-02,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-11-03,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-11-04,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-11-05,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-11-06,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-11-07,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-11-08,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-11-09,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-11-10,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-11-11,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-11-12,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-11-13,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-11-14,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-11-15,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-11-16,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-11-17,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-11-18,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-11-19,131,78153.0,21.71,15630,90.5,1,PARTIAL
2016-11-20,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-11-21,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-11-22,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-11-23,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-11-24,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-11-25,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-11-26,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-11-27,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-11-28,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-11-29,144,86400.0,24.00,17280,100.0,0,COMPLETE
2016-11-30,144,86400.0,24.00,17280,100.0,0,COMPLETE
